Query,Score,Suggestion,
خرید بسته,,1,
لغو بسته,,2,
خرید کردن,,1,
لغو کردن,,2,
خرید,,1,
لغو,,2,
تعویض,,1,
فروش,,1,
پس دادن,,2,
فعال کردن,,1,
غیر فعال کردن,,2,
آنتن ندادن,,2,
کار نکردن,,2,
از کار افتادن,,2,
پس دادن,,2,
عدم آنتن دهی,,2,
عدم شارژ شدن,,2,
عدم اتصال,,2,
عدم دریافت پیامک,,2,
عدم دریافت کد فعال سازی,,2,
لغو تبلیغات,,2,
غیر فعال کردن تبلیغات,,2,
تبدیل به 5 جی,,1,
فایو جی,,1,
5g,,2,
گارانتی,,2,
علت,,2,
کاهش سرعت,,2,
نبودن آنتن,,2,
قطع,,2,
قطع و وصل,,2,
باز پخش صدا,,2,
رجیستر نشدن,,2,
عدم,,2,
سیم کارت کودک,,1,
کار نکردن VPN,,2,
کار نکردن وی پی ان,,2,
کار نکردن یلتر شکن,,2,
عدم ارسال پیامک,,2,
عدم ارسال sms,,2,
درخواست قبض,,2,
عدم پرداخت,,2,
قطع سرویس,,2,
قطع,,2,
عدم تحویل,,2,
عدم تحویل به موقع,,2,
تاخیر,,2,
خرابی,,2,
گزارش خرابی,,2,
نویز,,2,
فعال سازی,,1,
کد ussd,,1,
احساسات مثبت,,1,
خرید موفق  ,,1,
تحویل به موقع  ,,1,
فعالسازی سریع  ,,1,
گارانتی معتبر  ,,1,
افزایش سرعت  ,,1,
اتصال پایدار  ,,1,
خدمات عالی  ,,1,
رضایت مشتری  ,,1,
پشتیبانی قوی  ,,1,
تجربه خرید لذت‌بخش  ,,1,
ارتقاء به 5 جی  ,,1,
دریافت کد فعال‌سازی  ,,1,
پیامک موفق  ,,1,
تعویض آسان  ,,1,
تبلیغات مفید  ,,1,
شارژ سریع  ,,1,
خدمات پس از فروش  ,,1,
ارائه خدمات ویژه  ,,1,
اطمینان از کیفیت  ,,1,
پاسخگویی سریع  ,,1,
احساسات منفی,,2,
عدم تحویل به موقع   ,,2,
قطع سرویس ناگهانی   ,,2,
خرابی مکرر   ,,2,
عدم آنتن‌دهی   ,,2,
تاخیر در خدمات   ,,2,
عدم دریافت پیامک   ,,2,
