Query,Value,Date,Keyword,Type
شارژ ایرانسل,100,2010-01-01,ایرانسل, TOP
ایرانسل وایمکس,53,2010-01-01,ایرانسل, TOP
وایمکس,52,2010-01-01,ایرانسل, TOP
خرید شارژ ایرانسل,44,2010-01-01,ایرانسل, TOP
سایت ایرانسل,40,2010-01-01,ایرانسل, TOP
اینترنت ایرانسل,24,2010-01-01,ایرانسل, TOP
کارت شارژ ایرانسل,23,2010-01-01,ایرانسل, TOP
ویترین ایرانسل,13,2010-01-01,ایرانسل, TOP
خرید کارت شارژ ایرانسل,13,2010-01-01,ایرانسل, TOP
آهنگ پیشواز ایرانسل,11,2010-01-01,ایرانسل, TOP
شارز ایرانسل,9,2010-01-01,ایرانسل, TOP
شارژ اینترنتی ایرانسل,9,2010-01-01,ایرانسل, TOP
ایرانسل شارژ رایگان,8,2010-01-01,ایرانسل, TOP
ثبت نام ایرانسل,8,2010-01-01,ایرانسل, TOP
اهنگ پیشواز ایرانسل,8,2010-01-01,ایرانسل, TOP
شرکت ایرانسل,8,2010-01-01,ایرانسل, TOP
wimax ایرانسل,7,2010-01-01,ایرانسل, TOP
وایمکس ایرانسل قیمت,7,2010-01-01,ایرانسل, TOP
ترفند ایرانسل,6,2010-01-01,ایرانسل, TOP
خرید اینترنتی شارژ ایرانسل,6,2010-01-01,ایرانسل, TOP
خدمات ایرانسل,6,2010-01-01,ایرانسل, TOP
وای مکس ایرانسل,6,2010-01-01,ایرانسل, TOP
هک ایرانسل,6,2010-01-01,ایرانسل, TOP
irancell,5,2010-01-01,ایرانسل, TOP
اینترنت وایمکس ایرانسل,5,2010-01-01,ایرانسل, TOP
ویترین ایرانسل,Breakout,2010-01-01,ایرانسل, RISING
طرح های ایرانسل,Breakout,2010-01-01,ایرانسل, RISING
خرید اینترنتی کارت شارژ ایرانسل,+110%,2010-01-01,ایرانسل, RISING
وایمکس ایرانسل قیمت,+110%,2010-01-01,ایرانسل, RISING
کد آهنگهای پیشواز ایرانسل,+110%,2010-01-01,ایرانسل, RISING
اینترنت پرسرعت ایرانسل,+90%,2010-01-01,ایرانسل, RISING
خرید شارج ایرانسل,+70%,2010-01-01,ایرانسل, RISING
www.irancell.ir,+50%,2010-01-01,ایرانسل, RISING
hdvhksg,+50%,2010-01-01,ایرانسل, RISING
برندگان همراه اول,100,2010-01-01,همراه اول, TOP
همراه اول شارژ,90,2010-01-01,همراه اول, TOP
سایت همراه اول,87,2010-01-01,همراه اول, TOP
قرعه کشی همراه اول,68,2010-01-01,همراه اول, TOP
اسامی برندگان همراه اول,42,2010-01-01,همراه اول, TOP
طرح ثامن همراه اول,40,2010-01-01,همراه اول, TOP
www.mci.ir,30,2010-01-01,همراه اول, TOP
خرید شارژ همراه اول,29,2010-01-01,همراه اول, TOP
سايت همراه اول,27,2010-01-01,همراه اول, TOP
مخابرات,24,2010-01-01,همراه اول, TOP
همراه اول مخابرات,24,2010-01-01,همراه اول, TOP
کارت شارژ همراه اول,21,2010-01-01,همراه اول, TOP
برندگان همراه اول طرح ثامن,20,2010-01-01,همراه اول, TOP
نتایج قرعه کشی همراه اول,19,2010-01-01,همراه اول, TOP
قرعه كشي همراه اول,19,2010-01-01,همراه اول, TOP
اسامي برندگان همراه اول,18,2010-01-01,همراه اول, TOP
جوایز همراه اول,16,2010-01-01,همراه اول, TOP
قبض همراه اول,15,2010-01-01,همراه اول, TOP
تلفن همراه اول,15,2010-01-01,همراه اول, TOP
mci,15,2010-01-01,همراه اول, TOP
صورتحساب همراه اول,14,2010-01-01,همراه اول, TOP
برندگان قرعه کشی همراه اول,14,2010-01-01,همراه اول, TOP
همراه اول صورتحساب,13,2010-01-01,همراه اول, TOP
همراه اول gprs,13,2010-01-01,همراه اول, TOP
خرید کارت شارژ همراه اول,11,2010-01-01,همراه اول, TOP
جوايز همراه اول,Breakout,2010-01-01,همراه اول, RISING
شرکت مخابرات ایران,Breakout,2010-01-01,همراه اول, RISING
جایزه همراه اول,Breakout,2010-01-01,همراه اول, RISING
جوایزهمراه اول,Breakout,2010-01-01,همراه اول, RISING
اسامي برندگان همراه اول,+950%,2010-01-01,همراه اول, RISING
برندگان همراه اول,+500%,2010-01-01,همراه اول, RISING
جوایز همراه اول,+450%,2010-01-01,همراه اول, RISING
www.mci.ir,+350%,2010-01-01,همراه اول, RISING
اسامی برندگان همراه اول,+300%,2010-01-01,همراه اول, RISING
برندگان قرعه کشی همراه اول,+200%,2010-01-01,همراه اول, RISING
قرعه کشی همراه اول,+190%,2010-01-01,همراه اول, RISING
برندگان همراه اول طرح ثامن,+150%,2010-01-01,همراه اول, RISING
نتایج قرعه کشی همراه اول,+150%,2010-01-01,همراه اول, RISING
طرح ثامن همراه اول,+130%,2010-01-01,همراه اول, RISING
اسامی برندگان همراه اول طرح ثامن,+120%,2010-01-01,همراه اول, RISING
قرعه كشي همراه اول,+110%,2010-01-01,همراه اول, RISING
نتايج قرعه كشي همراه اول,+110%,2010-01-01,همراه اول, RISING
سایت همراه اول,+90%,2010-01-01,همراه اول, RISING
اسامی برندگان قرعه کشی همراه اول,+80%,2010-01-01,همراه اول, RISING
mci,+80%,2010-01-01,همراه اول, RISING
ایرانسل شارژ,100,2010-02-01,ایرانسل, TOP
خرید شارژ ایرانسل,46,2010-02-01,ایرانسل, TOP
وایمکس,36,2010-02-01,ایرانسل, TOP
وایمکس ایرانسل,35,2010-02-01,ایرانسل, TOP
ایرانسل سایت,31,2010-02-01,ایرانسل, TOP
کارت شارژ ایرانسل,21,2010-02-01,ایرانسل, TOP
اینترنت ایرانسل,17,2010-02-01,ایرانسل, TOP
شارژ اینترنتی ایرانسل,14,2010-02-01,ایرانسل, TOP
خرید کارت شارژ ایرانسل,13,2010-02-01,ایرانسل, TOP
خرید کارت شارژ,12,2010-02-01,ایرانسل, TOP
شارز ایرانسل,9,2010-02-01,ایرانسل, TOP
ویترین ایرانسل,8,2010-02-01,ایرانسل, TOP
آهنگ پیشواز ایرانسل,8,2010-02-01,ایرانسل, TOP
خرید اینترنتی شارژ ایرانسل,7,2010-02-01,ایرانسل, TOP
ایرانسل شارژ رایگان,7,2010-02-01,ایرانسل, TOP
اهنگ پیشواز ایرانسل,6,2010-02-01,ایرانسل, TOP
خدمات ایرانسل,6,2010-02-01,ایرانسل, TOP
ثبت نام ایرانسل,5,2010-02-01,ایرانسل, TOP
irancell,5,2010-02-01,ایرانسل, TOP
ترفند ایرانسل,4,2010-02-01,ایرانسل, TOP
کد های ایرانسل,4,2010-02-01,ایرانسل, TOP
خرید شارژ همراه اول,4,2010-02-01,ایرانسل, TOP
پورتال ایرانسل,4,2010-02-01,ایرانسل, TOP
هک ایرانسل,4,2010-02-01,ایرانسل, TOP
قیمت وایمکس ایرانسل,3,2010-02-01,ایرانسل, TOP
شارژ ایرانسل پاسارگاد,Breakout,2010-02-01,ایرانسل, RISING
کدهای مخفی ایرانسل,+300%,2010-02-01,ایرانسل, RISING
خرید شارژ همراه اول,+200%,2010-02-01,ایرانسل, RISING
خرید کارت شارز ایرانسل,+160%,2010-02-01,ایرانسل, RISING
پورتال توزیع کنندگان ایرانسل,+150%,2010-02-01,ایرانسل, RISING
www.irancell.ir,+130%,2010-02-01,ایرانسل, RISING
شارژ اینترنتی ایرانسل,+130%,2010-02-01,ایرانسل, RISING
شارژایرانسل,+100%,2010-02-01,ایرانسل, RISING
شارج ایرانسل,+90%,2010-02-01,ایرانسل, RISING
خرید اینترنتی شارژ ایرانسل,+80%,2010-02-01,ایرانسل, RISING
ترفندهای ایرانسل,+80%,2010-02-01,ایرانسل, RISING
شار ایرانسل,+60%,2010-02-01,ایرانسل, RISING
همراه اول شارژ,100,2010-02-01,همراه اول, TOP
سایت همراه اول,67,2010-02-01,همراه اول, TOP
برندگان همراه اول,44,2010-02-01,همراه اول, TOP
همراه اول قرعه کشی,40,2010-02-01,همراه اول, TOP
خرید شارژ همراه اول,32,2010-02-01,همراه اول, TOP
قبض همراه اول,30,2010-02-01,همراه اول, TOP
کارت شارژ همراه اول,23,2010-02-01,همراه اول, TOP
مخابرات,21,2010-02-01,همراه اول, TOP
سايت همراه اول,21,2010-02-01,همراه اول, TOP
اسامی برندگان همراه اول,20,2010-02-01,همراه اول, TOP
همراه اول صورتحساب,19,2010-02-01,همراه اول, TOP
www.mci.ir,15,2010-02-01,همراه اول, TOP
همراه اول اعتباری,14,2010-02-01,همراه اول, TOP
خرید کارت شارژ همراه اول,13,2010-02-01,همراه اول, TOP
پرداخت قبض همراه اول,13,2010-02-01,همراه اول, TOP
قرعه كشي همراه اول,12,2010-02-01,همراه اول, TOP
ثبت نام همراه اول,11,2010-02-01,همراه اول, TOP
شارژ اینترنتی همراه اول,11,2010-02-01,همراه اول, TOP
نتایج قرعه کشی همراه اول,10,2010-02-01,همراه اول, TOP
جوایز همراه اول,10,2010-02-01,همراه اول, TOP
اینترنت همراه اول,10,2010-02-01,همراه اول, TOP
قبض تلفن همراه,10,2010-02-01,همراه اول, TOP
همراه اول gprs,10,2010-02-01,همراه اول, TOP
قبض تلفن همراه اول,8,2010-02-01,همراه اول, TOP
برندگان قرعه کشی همراه اول,8,2010-02-01,همراه اول, TOP
قبض تلفن همراه,Breakout,2010-02-01,همراه اول, RISING
پرداخت قبض همراه اول,"+1,200%",2010-02-01,همراه اول, RISING
قبض تلفن همراه اول,+190%,2010-02-01,همراه اول, RISING
قبض همراه اول,+160%,2010-02-01,همراه اول, RISING
همراه اول اعتباری,+140%,2010-02-01,همراه اول, RISING
قبض موبایل همراه اول,+120%,2010-02-01,همراه اول, RISING
خرید اینترنتی کارت شارژ همراه اول,+120%,2010-02-01,همراه اول, RISING
خرید اینترنتی شارژ همراه اول,+100%,2010-02-01,همراه اول, RISING
قبض موبایل,+100%,2010-02-01,همراه اول, RISING
ثبت نام همراه اول,+100%,2010-02-01,همراه اول, RISING
همراه اول صورتحساب,+90%,2010-02-01,همراه اول, RISING
خرید شارژ ایرانسل,+90%,2010-02-01,همراه اول, RISING
ايرانسل,+60%,2010-02-01,همراه اول, RISING
خرید کارت شارژ همراه اول,+50%,2010-02-01,همراه اول, RISING
اینترنت همراه اول,+40%,2010-02-01,همراه اول, RISING
شارژ اینترنتی همراه اول,+40%,2010-02-01,همراه اول, RISING
شارژ ایرانسل,100,2010-03-01,ایرانسل, TOP
خرید شارژ ایرانسل,40,2010-03-01,ایرانسل, TOP
وایمکس ایرانسل,28,2010-03-01,ایرانسل, TOP
وایمکس,28,2010-03-01,ایرانسل, TOP
سایت ایرانسل,26,2010-03-01,ایرانسل, TOP
کارت شارژ ایرانسل,22,2010-03-01,ایرانسل, TOP
اینترنت ایرانسل,15,2010-03-01,ایرانسل, TOP
شارژ اینترنتی ایرانسل,13,2010-03-01,ایرانسل, TOP
خرید کارت شارژ,13,2010-03-01,ایرانسل, TOP
خرید کارت شارژ ایرانسل,12,2010-03-01,ایرانسل, TOP
شارز ایرانسل,11,2010-03-01,ایرانسل, TOP
خرید شارژ اینترنتی ایرانسل,10,2010-03-01,ایرانسل, TOP
کدهای ایرانسل,8,2010-03-01,ایرانسل, TOP
شارژ همراه اول,8,2010-03-01,ایرانسل, TOP
آهنگ پیشواز ایرانسل,8,2010-03-01,ایرانسل, TOP
ویترین ایرانسل,7,2010-03-01,ایرانسل, TOP
اهنگ پیشواز ایرانسل,7,2010-03-01,ایرانسل, TOP
شارژ رایگان ایرانسل,6,2010-03-01,ایرانسل, TOP
رمزهای ایرانسل,5,2010-03-01,ایرانسل, TOP
خرید شارز ایرانسل,5,2010-03-01,ایرانسل, TOP
پورتال توزیع کنندگان ایرانسل,5,2010-03-01,ایرانسل, TOP
قیمت وایمکس ایرانسل,4,2010-03-01,ایرانسل, TOP
هک ایرانسل,4,2010-03-01,ایرانسل, TOP
شرکت ایرانسل,4,2010-03-01,ایرانسل, TOP
اینترنت رایگان ایرانسل,3,2010-03-01,ایرانسل, TOP
پورتال توزیع کنندگان ایرانسل,+600%,2010-03-01,ایرانسل, RISING
وایمکس ایرانسل چیست,+600%,2010-03-01,ایرانسل, RISING
وایمکس چیست,+350%,2010-03-01,ایرانسل, RISING
بانک سامان,+250%,2010-03-01,ایرانسل, RISING
رمزهای ایرانسل,+170%,2010-03-01,ایرانسل, RISING
ترفندهای ایرانسل,+120%,2010-03-01,ایرانسل, RISING
