Query,Value,Date,Keyword,Region,Type
ایرانسل اینترنت,100,2021-03-01,ایرانسل,Iran,TOP
کد ایرانسل,85,2021-03-01,ایرانسل,Iran,TOP
شارژ ایرانسل,49,2021-03-01,ایرانسل,Iran,TOP
پیشواز ایرانسل,42,2021-03-01,ایرانسل,Iran,TOP
ایرانسل من,41,2021-03-01,ایرانسل,Iran,TOP
بسته ایرانسل,41,2021-03-01,ایرانسل,Iran,TOP
همراه اول,35,2021-03-01,ایرانسل,Iran,TOP
بسته اینترنت ایرانسل,23,2021-03-01,ایرانسل,Iran,TOP
کد پیشواز ایرانسل,23,2021-03-01,ایرانسل,Iran,TOP
کد اینترنت ایرانسل,22,2021-03-01,ایرانسل,Iran,TOP
آهنگ پیشواز ایرانسل,21,2021-03-01,ایرانسل,Iran,TOP
سیم کارت ایرانسل,19,2021-03-01,ایرانسل,Iran,TOP
هدیه ایرانسل,14,2021-03-01,ایرانسل,Iran,TOP
اینترنت ایرانسل رایگان,14,2021-03-01,ایرانسل,Iran,TOP
اهنگ پیشواز ایرانسل,13,2021-03-01,ایرانسل,Iran,TOP
اینترنت رایگان,13,2021-03-01,ایرانسل,Iran,TOP
شماره ایرانسل,13,2021-03-01,ایرانسل,Iran,TOP
کد شارژ ایرانسل,12,2021-03-01,ایرانسل,Iran,TOP
خرید اینترنت ایرانسل,12,2021-03-01,ایرانسل,Iran,TOP
خرید بسته ایرانسل,12,2021-03-01,ایرانسل,Iran,TOP
مودم ایرانسل,12,2021-03-01,ایرانسل,Iran,TOP
عیدی ایرانسل,11,2021-03-01,ایرانسل,Iran,TOP
کد آهنگ پیشواز ایرانسل,10,2021-03-01,ایرانسل,Iran,TOP
کد اهنگ پیشواز ایرانسل,9,2021-03-01,ایرانسل,Iran,TOP
ایرانسل من دانلود,9,2021-03-01,ایرانسل,Iran,TOP
عیدانه ایرانسل,Breakout,2021-03-01,ایرانسل,Iran, RISING
عیدی ایرانسل ۱۴۰۰,Breakout,2021-03-01,ایرانسل,Iran, RISING
هدیه نوروزی ایرانسل,Breakout,2021-03-01,ایرانسل,Iran, RISING
عیدانه ایرانسل ۱۴۰,Breakout,2021-03-01,ایرانسل,Iran, RISING
کد عیدی ایرانسل ۱۴۰۰,Breakout,2021-03-01,ایرانسل,Iran, RISING
هدیه نیمه شعبان ایرانسل,Breakout,2021-03-01,ایرانسل,Iran, RISING
بسته عیدانه ایرانسل,Breakout,2021-03-01,ایرانسل,Iran, RISING
هدیه عید مبعث ایرانسل,Breakout,2021-03-01,ایرانسل,Iran, RISING
هدیه ایرانسل به مناسبت مبعث,Breakout,2021-03-01,ایرانسل,Iran, RISING
هدیه ایرانسل برای عید نوروز,Breakout,2021-03-01,ایرانسل,Iran, RISING
هدیه ایرانسل نوروز 1400,Breakout,2021-03-01,ایرانسل,Iran, RISING
کد عیدانه ایرانسل ۱۴۰۰,Breakout,2021-03-01,ایرانسل,Iran, RISING
کد اینترنت رایگان ایرانسل ۱۴۰۰,Breakout,2021-03-01,ایرانسل,Iran, RISING
هدیه ایرانسل به مناسبت نیمه شعبان,Breakout,2021-03-01,ایرانسل,Iran, RISING
کد عیدی ایرانسل 1400,Breakout,2021-03-01,ایرانسل,Iran, RISING
کد عیدانه ایرانسل 1400,Breakout,2021-03-01,ایرانسل,Iran, RISING
کد عیدی ایرانسل,Breakout,2021-03-01,ایرانسل,Iran, RISING
عیدی ایرانسل,Breakout,2021-03-01,ایرانسل,Iran, RISING
کد عیدانه ایرانسل,Breakout,2021-03-01,ایرانسل,Iran, RISING
عیدی همراه اول,Breakout,2021-03-01,ایرانسل,Iran, RISING
کد عیدی همراه اول,"+2,950%",2021-03-01,ایرانسل,Iran, RISING
اینترنت عیدی ایرانسل,"+1,850%",2021-03-01,ایرانسل,Iran, RISING
اینترنت رایگان عید نوروز 1400 ایرانسل,"+1,000%",2021-03-01,ایرانسل,Iran, RISING
کد هدیه نوروزی ایرانسل,+950%,2021-03-01,ایرانسل,Iran, RISING
فعال سازی ۲۰ گیگ اینترنت رایگان ایرانسل,+450%,2021-03-01,ایرانسل,Iran, RISING
کد همراه اول,100,2021-03-01,همراه اول,Iran,TOP
همراه اول اینترنت,76,2021-03-01,همراه اول,Iran,TOP
پیشواز همراه اول,72,2021-03-01,همراه اول,Iran,TOP
شارژ همراه اول,41,2021-03-01,همراه اول,Iran,TOP
بسته همراه اول,40,2021-03-01,همراه اول,Iran,TOP
کد پیشواز,40,2021-03-01,همراه اول,Iran,TOP
کد پیشواز همراه اول,38,2021-03-01,همراه اول,Iran,TOP
آهنگ پیشواز همراه اول,36,2021-03-01,همراه اول,Iran,TOP
