Query,Score,Suggestion
 3g,,1
 4g,,1
 gprs,,1
 gprs ثبت نام,,1
 mms,,1
 wimax,,1
 اربعین,,1
 اعتباری,,1
 اينترنت,,1
 اینترنت,,1
 آهنگ پیشواز,,1
 آوای انتظار,,1
 بامیلو,,1
 بسته,,1
 بسته اینترنت,,1
 پرداخت قبض,,1
 پیشواز,,1
 تامین اجتماعی,,
 ترابرد,,2
 ثبت نام,,1
 خراسان,,
 خراسان رضوي,,1
 خراسان رضوی,,
 خرید بسته,,1
 خرید سیم کارت,,1
 خرید شارژ,,1
 خندوانه,,
 خود را مجانی شارژ کنید,,1
 دات آی آر,,1
 دائمی,,1
 در عراق,,1
 رایگان,,1
 سایت,,1
 سیم کارت,,1
 شاپ,,1
 شارژ,,1
 شارژ رایگان,,1
 شماره طلایی,,1
 صورتحساب,,1
 طلایی,,
 قبض,,1
 قرعه کشی,,1
 لالیگا,,3
 مخابرات,,1
 مدل mf810,,
 من,,1
 من ios,,1
 من اندروید,,1
 من ایفون,,1
 من اینترنت رایگان,,1
 من برای ios,,1
 من برای اندروید,,1
 من برای ایفون,,1
 من برای ایفون نسخه وب,,1
 من برای کامپیوتر,,1
 من تحت وب,,1
 من جدید,,1
 من دانلود,,1
 من دانلود مستقیم,,1
 من فارسی,,1
 من قدیمی,,1
 من نسخه قدیمی,,1
 من نسخه وب,,1
 من هک شده,,2
 من واسه ایفون,,1
 من وب,,1
 مودم,,1
 نسل سوم,,1
 وایمکس,,1
 ویترین,,1
÷پیشواز ,,1
÷پیشواز رایتل,,1
÷پیشواز همراه اول,,1
0901 ایرانسل,,1
0901 رایتل,,1
0905 ایرانسل,,1
0905 رایتل,,1
0939 ایرانسل,,
0939 ایرانسل,,1
0939 رایتل,,
0939 رایتل,,1
0991  است یا ,,1
0991 رایتل است یا رایتل,,1
0991 همراه اول است یا ایرانسل,,1
0993  است یا ,,1
0993 رایتل است یا رایتل,,1
0993 همراه اول است یا ایرانسل,,1
۰۹۰۱  است یا ,,1
۰۹۰۱ ایرانسل است یا همراه اول,,1
۰۹۰۱ رایتل است یا رایتل,,1
۰۹۰۳  است یا ,,1
۰۹۰۳ ایرانسل است یا همراه اول,,1
۰۹۰۳ رایتل است یا رایتل,,1
093.irancell.ir,,1
093.irancell.ir,,1
0933 ایرانسل,,1
0933 ایرانسل,,1
0933 رایتل,,1
0933 رایتل,,1
0939.irancell.ir,,1
0939.irancell.ir,,1
0939ایرانسل,,1
0939رایتل,,1
۰۹۹۰  است یا ,,1
۰۹۹۰ ایرانسل است یا همراه اول,,1
۰۹۹۰ رایتل است یا رایتل,,1
۰۹۹۱  یا ,,1
۰۹۹۱ ایرانسل یا همراه اول,,1
۰۹۹۱ رایتل یا رایتل,,1
۰۹۹۲  است یا ,,1
۰۹۹۲ رایتل است یا رایتل,,1
۰۹۹۲ همراه اول است یا ایرانسل,,1
10 گیگ اینترنت رایگان ,,1
10 گیگ اینترنت رایگان ایرانسل,,1
10 گیگ اینترنت رایگان رایتل,,1
10 گیگ اینترنت رایگان همراه اول,,1
100 گیگ اینترنت ,,1
100 گیگ اینترنت ایرانسل,,1
100 گیگ اینترنت رایتل,,1
100 گیگ اینترنت رایگان,,1
100 گیگ اینترنت رایگان ,,1
100 گیگ اینترنت رایگان ایرانسل,,1
100 گیگ اینترنت رایگان رایتل,,1
100 گیگ اینترنت رایگان همراه اول,,1
1000 تومان شارژ رایگان ,,1
1000 تومان شارژ رایگان رایتل,,1
1000 تومان شارژ رایگان همراه اول,,1
14 گیگ اینترنت رایگان ,,1
14 گیگ اینترنت رایگان ایرانسل,,1
14 گیگ اینترنت رایگان رایتل,,1
15 گیگ اینترنت رایگان ,,1
15 گیگ اینترنت رایگان رایتل,,1
15 گیگ اینترنت رایگان همراه اول,,1
۱۰۰ گیگ اینترنت ,,1
۱۰۰ گیگ اینترنت ایرانسل,,1
۱۰۰ گیگ اینترنت رایتل,,1
۱۰۰ گیگ اینترنت رایگان,,1
۱۰۰ گیگ اینترنت رایگان ,,1
۱۰۰ گیگ اینترنت رایگان ایرانسل,,1
۱۰۰ گیگ اینترنت رایگان رایتل,,1
۱۰۰ گیگ اینترنت رایگان همراه اول,,1
۱۰۰گیگ اینترنت رایگان,,1
۱۰۰گیگ اینترنت رایگان ,,1
۱۰۰گیگ اینترنت رایگان ایرانسل,,1
۱۰۰گیگ اینترنت رایگان رایتل,,1
۱۰۰گیگ اینترنت رایگان همراه اول,,1
۱۲۰گیگ اینترنت ,,1
۱۲۰گیگ اینترنت رایتل,,1
۱۲۰گیگ اینترنت همراه اول,,1
۱۴ گیگ اینترنت رایگان ,,1
۱۴ گیگ اینترنت رایگان ایرانسل,,1
۱۴ گیگ اینترنت رایگان رایتل,,1
192.168.1.1,,3
۱۹۲.۱۶۸.۱.۱,,3
۱۹۲.۱۶۸.۱.۱ ,,1
